OBJECTID,ID,ENFORCEMENT,ADDRESS,MARID
13,12,SPEED SAFETY CAMERA,Suitland Pk w/b @ Stanton Rd SE,901568
14,13,SPEED SAFETY CAMERA,2300 blk Good Hope Rd SE nw/b,815490
15,7,STOP SIGN SAFETY CAMERA,Bruce Pl e/b @ 15th Pl SE,907047
16,5,SPEED SAFETY CAMERA,Military Rd w/b @ 14th St NW,900063
17,4,STOP SIGN SAFETY CAMERA,Blagden Ave @ Allison St NW ne/b, 
18,17,SPEED SAFETY CAMERA,2900 blk Military Rd NW e/b,811559
19,20,SPEED SAFETY CAMERA,2200 blk K St NW w/b,805065
20,21,SPEED SAFETY CAMERA,2200 blk K St NW e/b,805065
21,25,SPEED SAFETY CAMERA,5700 blk MacArthur Blvd  NW n/b,811159
22,45,SPEED SAFETY CAMERA,3300 blk New York Ave NE e/b,800345
23,72,SPEED SAFETY CAMERA,699-800 blk Ridge Rd SE nw/b,801304
24,42,SPEED SAFETY CAMERA,4200 blk S Dakota Ave NE nw/b,811511
25,43,SPEED SAFETY CAMERA,1100 blk Michigan Ave NE w/b,811071
26,64,SPEED SAFETY CAMERA,DC295 NE .1mile s/o Eastern Ave n/b,912947
27,65,SPEED SAFETY CAMERA,3700 blk Massachusetts Ave SE nw/b,813951
28,4,RED LIGHT SAFETY CAMERA,E Capitol St w/b @ Benning Rd NE,904412
29,5,RED LIGHT SAFETY CAMERA,E Capitol St e/b @ Texas Ave SE,904411
30,6,RED LIGHT SAFETY CAMERA,Pennsylvania Ave w/b @ Minnesota SE,902809
31,7,SPEED SAFETY CAMERA,1200 blk Mt Olivet Rd NE nw/b ,805186
32,22,SPEED SAFETY CAMERA,5100 blk Loughboro Rd NW w/b,806158
33,11,SPEED SAFETY CAMERA,2800 blk Benning Rd NE e/b,805468
34,16,SPEED SAFETY CAMERA,1700 blk C St NE W/B,808851
35,3,SPEED SAFETY CAMERA,3500 blk Massachusetts Ave NW e/b,804628
